,Open,High,Low,Close,Adj Close,Volume
2020-04-01 09:30:00-04:00,1932.97,1939.99,1921.27,1929.50,1929.50,1001373.00
2020-04-01 10:30:00-04:00,1930.03,1937.00,1925.35,1926.75,1926.75,467670.00
2020-04-01 11:30:00-04:00,1926.69,1929.53,1915.30,1916.00,1916.00,410392.00
2020-04-01 12:30:00-04:00,1916.35,1921.97,1903.24,1913.00,1913.00,543852.00
2020-04-01 13:30:00-04:00,1913.08,1917.49,1908.50,1915.25,1915.25,336250.00
2020-04-01 14:30:00-04:00,1914.01,1917.00,1902.10,1902.33,1902.33,388687.00
2020-04-01 15:30:00-04:00,1902.65,1913.00,1893.00,1906.58,1906.58,594411.00
2020-04-02 09:30:00-04:00,1902.48,1921.94,1898.49,1916.95,1916.95,971963.00
2020-04-02 10:30:00-04:00,1914.83,1927.53,1912.74,1914.74,1914.74,578603.00
2020-04-02 11:30:00-04:00,1914.79,1922.64,1909.68,1919.73,1919.73,417098.00
2020-04-02 12:30:00-04:00,1919.74,1922.20,1902.60,1904.08,1904.08,335532.00
2020-04-02 13:30:00-04:00,1903.71,1909.91,1890.00,1898.42,1898.42,594835.00
2020-04-02 14:30:00-04:00,1897.73,1912.83,1891.91,1908.16,1908.16,545110.00
2020-04-02 15:30:00-04:00,1907.80,1920.00,1902.01,1918.83,1918.83,603098.00
2020-04-03 09:30:00-04:00,1911.15,1926.33,1907.00,1910.09,1910.09,730304.00
2020-04-03 10:30:00-04:00,1910.11,1913.00,1902.57,1903.49,1903.49,400466.00
2020-04-03 11:30:00-04:00,1903.01,1905.50,1895.55,1898.15,1898.15,390763.00
2020-04-03 12:30:00-04:00,1897.66,1900.35,1894.47,1896.82,1896.82,333656.00
2020-04-03 13:30:00-04:00,1897.01,1897.79,1889.15,1897.44,1897.44,385906.00
2020-04-03 14:30:00-04:00,1896.23,1900.00,1892.31,1895.41,1895.41,400046.00
2020-04-03 15:30:00-04:00,1896.23,1906.95,1891.01,1906.60,1906.60,530363.00
2020-04-06 09:30:00-04:00,1936.00,1953.00,1931.58,1949.56,1949.56,1344744.00
2020-04-06 10:30:00-04:00,1949.71,1961.97,1948.00,1961.16,1961.16,619208.00
2020-04-06 11:30:00-04:00,1961.44,1969.42,1957.18,1969.00,1969.00,432535.00
2020-04-06 12:30:00-04:00,1968.43,1974.79,1966.34,1974.30,1974.30,420100.00
2020-04-06 13:30:00-04:00,1974.50,1979.00,1970.00,1972.30,1972.30,566922.00
2020-04-06 14:30:00-04:00,1972.59,1982.00,1972.36,1981.27,1981.27,613157.00
2020-04-06 15:30:00-04:00,1981.56,1998.52,1980.45,1998.49,1998.49,1137548.00
2020-04-07 09:30:00-04:00,2016.12,2035.10,2005.06,2012.49,2012.49,1816952.00
2020-04-07 10:30:00-04:00,2011.68,2018.53,1997.62,2016.98,2016.98,685020.00
2020-04-07 11:30:00-04:00,2016.79,2028.00,2009.01,2026.00,2026.00,460525.00
2020-04-07 12:30:00-04:00,2026.00,2027.49,2019.31,2022.40,2022.40,327736.00
2020-04-07 13:30:00-04:00,2022.80,2022.80,2010.16,2015.97,2015.97,430255.00
2020-04-07 14:30:00-04:00,2015.27,2019.82,2006.36,2010.08,2010.08,441216.00
2020-04-07 15:30:00-04:00,2010.25,2025.22,2007.68,2011.59,2011.59,554417.00
2020-04-08 09:30:00-04:00,2020.01,2032.03,2011.15,2019.87,2019.87,864374.00
2020-04-08 10:30:00-04:00,2018.18,2024.77,2014.01,2022.57,2022.57,418383.00
2020-04-08 11:30:00-04:00,2023.11,2030.00,2022.00,2024.95,2024.95,474231.00
2020-04-08 12:30:00-04:00,2025.00,2033.44,2024.90,2027.71,2027.71,425328.00
2020-04-08 13:30:00-04:00,2027.72,2032.37,2021.34,2030.31,2030.31,389290.00
2020-04-08 14:30:00-04:00,2030.81,2038.94,2030.40,2037.01,2037.01,532514.00
2020-04-08 15:30:00-04:00,2037.47,2043.74,2031.62,2040.03,2040.03,583407.00
2020-04-09 09:30:00-04:00,2041.99,2052.59,2017.66,2029.18,2029.18,1358944.00
2020-04-09 10:30:00-04:00,2030.00,2039.45,2021.26,2026.69,2026.69,672197.00
2020-04-09 11:30:00-04:00,2026.51,2042.87,2024.06,2034.70,2034.70,475602.00
2020-04-09 12:30:00-04:00,2034.88,2041.00,2031.82,2034.40,2034.40,347326.00
2020-04-09 13:30:00-04:00,2034.46,2035.36,2026.15,2030.22,2030.22,395750.00
2020-04-09 14:30:00-04:00,2030.01,2034.76,2021.65,2034.57,2034.57,482119.00
2020-04-09 15:30:00-04:00,2034.50,2044.56,2033.09,2042.82,2042.82,483310.00
2020-04-13 09:30:00-04:00,2040.15,2109.74,2038.00,2102.64,2102.64,1612343.00
2020-04-13 10:30:00-04:00,2102.98,2135.78,2099.69,2134.65,2134.65,1067521.00
2020-04-13 11:30:00-04:00,2134.43,2148.80,2132.00,2133.00,2133.00,782344.00
2020-04-13 12:30:00-04:00,2133.77,2142.55,2126.06,2134.99,2134.99,485192.00
2020-04-13 13:30:00-04:00,2134.37,2157.50,2134.37,2147.76,2147.76,590509.00
2020-04-13 14:30:00-04:00,2147.30,2175.82,2147.27,2174.59,2174.59,832752.00
2020-04-13 15:30:00-04:00,2175.00,2180.00,2163.78,2168.01,2168.01,927097.00
2020-04-14 09:30:00-04:00,2200.47,2264.83,2186.21,2260.64,2260.64,2748946.00
2020-04-14 10:30:00-04:00,2261.44,2262.00,2241.21,2251.81,2251.81,1116669.00
2020-04-14 11:30:00-04:00,2251.89,2269.88,2249.01,2260.65,2260.65,684428.00
2020-04-14 12:30:00-04:00,2261.35,2286.13,2260.50,2281.48,2281.48,729615.00
2020-04-14 13:30:00-04:00,2282.35,2292.00,2280.42,2285.00,2285.00,764687.00
2020-04-14 14:30:00-04:00,2285.13,2290.00,2270.01,2285.59,2285.59,834663.00
2020-04-14 15:30:00-04:00,2286.01,2291.52,2280.00,2283.31,2283.31,751835.00
2020-04-15 09:30:00-04:00,2255.41,2313.88,2245.00,2303.79,2303.79,2309474.00
2020-04-15 10:30:00-04:00,2304.00,2310.60,2283.33,2294.24,2294.24,1054011.00
2020-04-15 11:30:00-04:00,2294.15,2299.00,2284.59,2297.57,2297.57,512691.00
2020-04-15 12:30:00-04:00,2297.00,2305.00,2293.08,2298.99,2298.99,466048.00
2020-04-15 13:30:00-04:00,2299.11,2316.11,2293.28,2313.08,2313.08,530035.00
2020-04-15 14:30:00-04:00,2312.95,2333.37,2306.98,2313.31,2313.31,883064.00
2020-04-15 15:30:00-04:00,2313.68,2315.00,2302.65,2309.27,2309.27,675927.00
2020-04-16 09:30:00-04:00,2342.45,2398.73,2338.81,2394.10,2394.10,2677377.00
2020-04-16 10:30:00-04:00,2393.50,2429.00,2383.29,2424.55,2424.55,1720063.00
2020-04-16 11:30:00-04:00,2424.11,2461.00,2395.59,2407.50,2407.50,2154140.00
2020-04-16 12:30:00-04:00,2407.06,2408.94,2353.51,2392.02,2392.02,1737552.00
2020-04-16 13:30:00-04:00,2392.08,2412.50,2382.00,2396.26,2396.26,866436.00
2020-04-16 14:30:00-04:00,2395.71,2409.69,2372.28,2390.03,2390.03,1073751.00
2020-04-16 15:30:00-04:00,2390.98,2414.25,2386.23,2408.19,2408.19,949055.00
2020-04-17 09:30:00-04:00,2372.81,2400.00,2321.66,2380.33,2380.33,2915080.00
2020-04-17 10:30:00-04:00,2378.66,2380.07,2345.34,2354.22,2354.22,963959.00
2020-04-17 11:30:00-04:00,2355.97,2363.99,2346.33,2353.38,2353.38,589391.00
2020-04-17 12:30:00-04:00,2352.82,2360.00,2341.60,2343.82,2343.82,426646.00
2020-04-17 13:30:00-04:00,2344.09,2352.00,2320.00,2338.00,2338.00,708755.00
2020-04-17 14:30:00-04:00,2336.96,2362.00,2327.05,2361.21,2361.21,714747.00
2020-04-17 15:30:00-04:00,2362.00,2377.51,2362.00,2374.99,2374.99,874793.00
2020-04-20 09:30:00-04:00,2389.95,2443.07,2386.05,2418.83,2418.83,1995725.00
2020-04-20 10:30:00-04:00,2419.15,2432.00,2413.20,2421.03,2421.03,731685.00
2020-04-20 11:30:00-04:00,2420.98,2428.31,2416.02,2418.72,2418.72,436916.00
2020-04-20 12:30:00-04:00,2419.38,2420.64,2400.00,2408.87,2408.87,470798.00
2020-04-20 13:30:00-04:00,2408.95,2419.75,2398.40,2401.50,2401.50,470973.00
2020-04-20 14:30:00-04:00,2401.84,2417.26,2388.51,2403.90,2403.90,682531.00
2020-04-20 15:30:00-04:00,2403.80,2408.62,2390.60,2392.00,2392.00,467835.00
2020-04-21 09:30:00-04:00,2416.61,2427.96,2358.26,2377.50,2377.50,1802598.00
2020-04-21 10:30:00-04:00,2377.56,2379.00,2279.66,2305.00,2305.00,1593491.00
2020-04-21 11:30:00-04:00,2306.57,2333.00,2304.39,2316.36,2316.36,847416.00
2020-04-21 12:30:00-04:00,2317.97,2341.83,2301.72,2341.71,2341.71,582956.00
2020-04-21 13:30:00-04:00,2341.68,2371.00,2336.60,2366.00,2366.00,837918.00
2020-04-21 14:30:00-04:00,2366.24,2369.00,2327.00,2350.50,2350.50,710250.00
2020-04-21 15:30:00-04:00,2350.28,2359.00,2318.57,2329.36,2329.36,642640.00
2020-04-22 09:30:00-04:00,2364.85,2394.00,2360.00,2382.81,2382.81,1397397.00
2020-04-22 10:30:00-04:00,2382.70,2386.12,2351.00,2362.24,2362.24,627742.00
2020-04-22 11:30:00-04:00,2361.22,2369.54,2354.14,2362.95,2362.95,373755.00
2020-04-22 12:30:00-04:00,2363.52,2375.50,2362.08,2373.59,2373.59,284040.00
2020-04-22 13:30:00-04:00,2374.28,2382.00,2367.38,2377.50,2377.50,305757.00
2020-04-22 14:30:00-04:00,2377.01,2382.00,2371.08,2374.64,2374.64,351519.00
2020-04-22 15:30:00-04:00,2374.57,2377.55,2361.09,2361.27,2361.27,437242.00
2020-04-23 09:30:00-04:00,2399.98,2424.22,2392.98,2411.20,2411.20,1439697.00
2020-04-23 10:30:00-04:00,2412.05,2418.00,2403.43,2412.43,2412.43,443811.00
2020-04-23 11:30:00-04:00,2412.77,2413.00,2396.44,2410.09,2410.09,417558.00
2020-04-23 12:30:00-04:00,2410.80,2412.89,2387.04,2400.08,2400.08,683203.00
2020-04-23 13:30:00-04:00,2398.97,2407.75,2382.08,2400.29,2400.29,583253.00
2020-04-23 14:30:00-04:00,2400.27,2410.99,2393.01,2397.49,2397.49,475214.00
2020-04-23 15:30:00-04:00,2397.16,2404.00,2393.05,2399.44,2399.44,545895.00
2020-04-24 09:30:00-04:00,2417.00,2420.43,2382.00,2401.27,2401.27,1076625.00
2020-04-24 10:30:00-04:00,2400.50,2408.64,2391.21,2396.00,2396.00,524218.00
2020-04-24 11:30:00-04:00,2395.77,2398.99,2392.04,2398.25,2398.25,278507.00
2020-04-24 12:30:00-04:00,2398.19,2405.00,2397.13,2399.00,2399.00,377486.00
2020-04-24 13:30:00-04:00,2399.56,2406.10,2396.00,2401.96,2401.96,368441.00
2020-04-24 14:30:00-04:00,2401.95,2409.99,2400.63,2408.18,2408.18,373140.00
2020-04-24 15:30:00-04:00,2407.53,2414.99,2407.03,2410.00,2410.00,577881.00
2020-04-27 09:30:00-04:00,2443.20,2444.88,2412.34,2420.98,2420.98,1466842.00
2020-04-27 10:30:00-04:00,2421.09,2422.46,2409.00,2419.00,2419.00,667907.00
2020-04-27 11:30:00-04:00,2418.20,2419.03,2394.82,2404.09,2404.09,583695.00
2020-04-27 12:30:00-04:00,2403.61,2410.17,2387.13,2390.88,2390.88,471952.00
2020-04-27 13:30:00-04:00,2390.62,2390.85,2363.00,2371.01,2371.01,851611.00
2020-04-27 14:30:00-04:00,2371.35,2384.80,2366.03,2379.55,2379.55,614177.00
2020-04-27 15:30:00-04:00,2378.82,2390.97,2375.16,2376.82,2376.82,558768.00
2020-04-28 09:30:00-04:00,2372.10,2373.50,2318.89,2334.89,2334.89,1500199.00
2020-04-28 10:30:00-04:00,2335.19,2341.14,2312.50,2325.50,2325.50,829527.00
2020-04-28 11:30:00-04:00,2325.09,2331.20,2306.00,2313.24,2313.24,591586.00
2020-04-28 12:30:00-04:00,2312.01,2335.79,2310.85,2327.25,2327.25,496519.00
2020-04-28 13:30:00-04:00,2327.11,2337.44,2322.02,2332.84,2332.84,351498.00
2020-04-28 14:30:00-04:00,2334.00,2335.85,2315.62,2324.24,2324.24,457646.00
2020-04-28 15:30:00-04:00,2323.33,2326.99,2308.82,2314.08,2314.08,514506.00
2020-04-29 09:30:00-04:00,2330.01,2374.47,2310.00,2367.14,2367.14,1472244.00
2020-04-29 10:30:00-04:00,2367.99,2372.23,2357.63,2360.26,2360.26,487496.00
2020-04-29 11:30:00-04:00,2360.07,2360.08,2340.00,2357.96,2357.96,406572.00
2020-04-29 12:30:00-04:00,2359.77,2365.86,2357.00,2362.15,2362.15,298524.00
2020-04-29 13:30:00-04:00,2362.72,2366.94,2352.00,2360.43,2360.43,342542.00
2020-04-29 14:30:00-04:00,2359.87,2376.31,2357.01,2374.58,2374.58,396166.00
2020-04-29 15:30:00-04:00,2374.65,2391.89,2365.12,2371.88,2371.88,668805.00
2020-04-30 09:30:00-04:00,2419.84,2444.98,2396.01,2439.45,2439.45,1962452.00
2020-04-30 10:30:00-04:00,2439.16,2439.55,2420.02,2426.29,2426.29,670642.00
2020-04-30 11:30:00-04:00,2427.60,2431.62,2416.71,2422.53,2422.53,578453.00
2020-04-30 12:30:00-04:00,2421.00,2421.38,2400.04,2413.55,2413.55,752742.00
2020-04-30 13:30:00-04:00,2414.41,2430.99,2409.01,2426.86,2426.86,594285.00
2020-04-30 14:30:00-04:00,2427.01,2447.25,2420.25,2444.60,2444.60,897663.00
2020-04-30 15:30:00-04:00,2443.96,2470.00,2434.04,2469.00,2469.00,1536460.00
2020-05-01 09:30:00-04:00,2336.80,2362.44,2308.39,2324.57,2324.57,3162247.00
2020-05-01 10:30:00-04:00,2324.53,2327.21,2287.00,2298.44,2298.44,1604598.00
2020-05-01 11:30:00-04:00,2299.24,2300.00,2258.19,2275.74,2275.74,1380175.00
2020-05-01 12:30:00-04:00,2274.41,2288.27,2272.56,2283.21,2283.21,789880.00
2020-05-01 13:30:00-04:00,2283.34,2313.56,2277.01,2309.36,2309.36,966043.00
2020-05-01 14:30:00-04:00,2309.32,2311.99,2290.00,2295.81,2295.81,726130.00
2020-05-01 15:30:00-04:00,2296.35,2296.95,2281.45,2285.94,2285.94,772060.00
2020-05-04 09:30:00-04:00,2256.38,2323.00,2256.38,2319.27,2319.27,1869627.00
2020-05-04 10:30:00-04:00,2317.29,2326.98,2309.00,2316.44,2316.44,596057.00
2020-05-04 11:30:00-04:00,2316.45,2324.49,2307.15,2311.00,2311.00,609120.00
2020-05-04 12:30:00-04:00,2310.00,2311.56,2292.27,2299.42,2299.42,461329.00
2020-05-04 13:30:00-04:00,2299.00,2308.00,2298.95,2303.58,2303.58,278562.00
2020-05-04 14:30:00-04:00,2304.47,2318.00,2299.02,2313.01,2313.01,369786.00
2020-05-04 15:30:00-04:00,2313.85,2317.38,2307.11,2315.99,2315.99,424709.00
2020-05-05 09:30:00-04:00,2340.00,2351.00,2326.00,2338.08,2338.08,1889268.00
2020-05-05 10:30:00-04:00,2338.41,2342.99,2331.00,2334.22,2334.22,732558.00
2020-05-05 11:30:00-04:00,2334.33,2337.00,2329.17,2331.94,2331.94,538970.00
2020-05-05 12:30:00-04:00,2331.91,2335.25,2320.59,2326.00,2326.00,626550.00
2020-05-05 13:30:00-04:00,2325.85,2336.57,2323.30,2336.02,2336.02,596258.00
2020-05-05 14:30:00-04:00,2336.10,2339.50,2320.95,2323.65,2323.65,716018.00
2020-05-05 15:30:00-04:00,2322.93,2325.70,2307.13,2317.64,2317.64,950680.00
2020-05-06 09:30:00-04:00,2329.44,2340.71,2320.00,2336.88,2336.88,800701.00
2020-05-06 10:30:00-04:00,2334.35,2342.10,2332.00,2335.48,2335.48,413807.00
2020-05-06 11:30:00-04:00,2335.95,2340.00,2328.71,2332.48,2332.48,223437.00
2020-05-06 12:30:00-04:00,2332.00,2348.30,2331.71,2347.50,2347.50,343653.00
2020-05-06 13:30:00-04:00,2347.97,2356.42,2342.40,2344.44,2344.44,456511.00
