,Open,High,Low,Close,Adj Close,Volume
2020-04-01 09:30:00-04:00,153.00,156.22,152.66,155.36,155.36,12841786.00
2020-04-01 10:30:00-04:00,155.35,157.75,155.02,155.90,155.90,7242138.00
2020-04-01 11:30:00-04:00,155.95,156.14,154.27,154.59,154.59,5839784.00
2020-04-01 12:30:00-04:00,154.58,154.78,152.67,153.23,153.23,6299776.00
2020-04-01 13:30:00-04:00,153.22,154.22,152.83,153.15,153.15,4823994.00
2020-04-01 14:30:00-04:00,153.14,153.19,151.18,151.21,151.21,6515082.00
2020-04-01 15:30:00-04:00,151.20,153.00,150.82,152.03,152.03,7698699.00
2020-04-02 09:30:00-04:00,153.39,155.12,150.36,152.36,152.36,11942975.00
2020-04-02 10:30:00-04:00,152.24,154.55,152.22,153.44,153.44,6270091.00
2020-04-02 11:30:00-04:00,153.43,155.47,153.25,154.34,154.34,4824026.00
2020-04-02 12:30:00-04:00,154.37,154.93,152.01,152.11,152.11,4161990.00
2020-04-02 13:30:00-04:00,152.09,153.58,151.30,152.15,152.15,5013332.00
2020-04-02 14:30:00-04:00,152.15,153.69,151.56,153.37,153.37,5774870.00
2020-04-02 15:30:00-04:00,153.37,155.48,152.55,155.26,155.26,6401418.00
2020-04-03 09:30:00-04:00,155.10,157.38,154.45,155.48,155.48,9864183.00
2020-04-03 10:30:00-04:00,155.47,156.46,154.87,155.07,155.07,5652249.00
2020-04-03 11:30:00-04:00,155.10,155.43,153.12,153.65,153.65,4628580.00
2020-04-03 12:30:00-04:00,153.63,154.20,153.01,153.27,153.27,3649201.00
2020-04-03 13:30:00-04:00,153.26,153.40,152.19,153.32,153.32,3680695.00
2020-04-03 14:30:00-04:00,153.31,154.00,152.33,153.30,153.30,4702792.00
2020-04-03 15:30:00-04:00,153.31,154.76,152.60,153.82,153.82,4596456.00
2020-04-06 09:30:00-04:00,160.32,161.00,157.71,160.48,160.48,13969593.00
2020-04-06 10:30:00-04:00,160.49,161.46,159.95,161.28,161.28,6925532.00
2020-04-06 11:30:00-04:00,161.26,162.00,160.73,161.94,161.94,5114678.00
2020-04-06 12:30:00-04:00,161.94,162.08,160.86,161.38,161.38,5097865.00
2020-04-06 13:30:00-04:00,161.38,162.00,161.22,161.66,161.66,4189140.00
2020-04-06 14:30:00-04:00,161.69,162.49,161.52,162.46,162.46,6424008.00
2020-04-06 15:30:00-04:00,162.46,166.50,162.20,165.27,165.27,13369226.00
2020-04-07 09:30:00-04:00,168.40,169.63,164.15,164.30,164.30,19172431.00
2020-04-07 10:30:00-04:00,164.31,166.55,164.06,166.46,166.46,8091295.00
2020-04-07 11:30:00-04:00,166.45,168.00,165.80,167.16,167.16,5980452.00
2020-04-07 12:30:00-04:00,167.16,167.88,166.60,167.22,167.22,4531703.00
2020-04-07 13:30:00-04:00,167.28,167.30,165.07,165.88,165.88,5148145.00
2020-04-07 14:30:00-04:00,165.86,166.19,164.06,164.57,164.57,6408379.00
2020-04-07 15:30:00-04:00,164.57,166.77,163.26,163.49,163.49,6791700.00
2020-04-08 09:30:00-04:00,165.67,166.64,163.71,164.66,164.66,8983613.00
2020-04-08 10:30:00-04:00,164.66,165.63,164.04,165.43,165.43,5030545.00
2020-04-08 11:30:00-04:00,165.41,165.99,164.65,164.80,164.80,5166505.00
2020-04-08 12:30:00-04:00,164.81,165.79,164.55,164.61,164.61,4699460.00
2020-04-08 13:30:00-04:00,164.62,165.08,163.50,164.95,164.95,5506300.00
2020-04-08 14:30:00-04:00,164.96,165.98,164.52,165.02,165.02,6224803.00
2020-04-08 15:30:00-04:00,165.02,165.49,164.06,164.80,164.80,7065095.00
2020-04-09 09:30:00-04:00,165.57,167.19,163.33,164.38,164.38,14044934.00
2020-04-09 10:30:00-04:00,164.40,165.43,163.63,165.02,165.02,7710122.00
2020-04-09 11:30:00-04:00,165.02,165.65,164.55,164.59,164.59,4342633.00
2020-04-09 12:30:00-04:00,164.59,165.46,164.33,165.03,165.03,3707852.00
